prec_id,Donald J. Trump,Gary Johnson,Hillary Clinton,Jill Stein (Write-In),Write-In (Miscellaneous),JIll Stein (Write-In)
cumberland_CC13,45,30,1253,1,11,
cumberland_G8B,588,61,689,2,11,
cumberland_CC15,1043,54,677,2,12,
cumberland_CC18,675,24,350,0,11,
cumberland_G4B,641,45,471,2,9,
cumberland_CL57-2,357,34,1406,1,19,
cumberland_G2A,840,76,1815,5,21,
cumberland_LR63,504,56,1861,3,14,
cumberland_CC14,984,60,675,3,14,
cumberland_G10B,799,51,764,3,15,
cumberland_CC33,499,33,867,1,13,
cumberland_CL57-1,488,50,1289,3,21,
cumberland_G5B-1,196,24,1558,2,10,
cumberland_G5C,445,33,844,4,12,
cumberland_CC06,372,31,322,2,10,
cumberland_G10C,1328,64,759,3,21,
cumberland_G7A,603,20,218,0,8,
cumberland_CC24,310,31,479,1,6,
cumberland_CC29,385,46,831,2,8,
cumberland_G2E-1,205,22,961,1,16,
cumberland_G5A-1,392,40,1152,0,9,
cumberland_MR02,539,51,1051,4,18,
cumberland_G5A-2,546,32,835,1,17,
cumberland_G4A,400,32,471,3,8,
cumberland_CU02,531,29,632,5,7,
cumberland_CC08,559,40,316,2,12,
cumberland_ABSENTEE 1-30,1025,109,1237,4,32,
cumberland_G5B-2,280,28,1150,2,8,
cumberland_G7B,610,19,191,0,4,
cumberland_CC10,290,21,420,0,7,
cumberland_CC17,179,18,1333,0,6,
cumberland_G10A,1561,76,1325,6,17,
cumberland_G11A-1,301,38,1032,5,17,
cumberland_CC32,120,23,596,0,4,
cumberland_CC25,442,41,632,0,13,
cumberland_CC26,489,49,1377,3,20,
cumberland_G2E-2,231,26,1347,1,11,
cumberland_CC19,18,1,445,1,5,
cumberland_G3B,289,8,340,0,5,
cumberland_G9B-2,1250,69,1198,4,22,
cumberland_SH77,981,38,648,2,12,
cumberland_CC16,29,15,1186,3,9,
cumberland_EO61-1,1261,47,615,4,11,
cumberland_G3A-2,572,41,778,1,13,
cumberland_G1B,1571,64,1000,3,33,
cumberland_G9A,885,45,814,4,14,
cumberland_G6A,2079,66,738,4,13,
cumberland_CC05,125,24,997,0,10,
cumberland_G6C,771,24,459,1,6,
cumberland_AL51,2019,58,967,2,26,
cumberland_G3C,486,13,310,1,10,
cumberland_G1A,408,28,865,0,5,
cumberland_G6B,584,15,189,2,6,
cumberland_CC01,131,23,1166,2,6,
cumberland_EO61-2,797,21,509,0,11,
cumberland_G9B-1,1201,63,1084,2,17,
cumberland_G3A-1,655,53,1416,0,17,
davie_12,1861,82,602,6,27,
davie_CURBSIDE,204,5,119,0,0,
davie_7,892,23,252,6,10,
davie_4,787,41,298,0,8,
davie_9,979,44,444,3,8,
davie_3,1478,54,272,6,13,
davie_6,839,50,251,2,10,
davie_10,1254,57,421,4,21,
davie_8,751,48,565,1,12,
davie_11,987,26,181,4,9,
davie_14,1122,38,342,1,17,
davie_ABSENTEE,467,34,227,1,15,
davie_1,583,11,156,1,9,
davie_13,1427,53,605,6,22,
davie_5,1321,40,354,5,18,
davie_2,577,18,159,1,4,
catawba_30,1458,74,885,7,32,
catawba_33,3020,89,933,8,20,
catawba_11,320,24,318,4,9,
catawba_ABSENTEE,1478,79,790,5,38,
catawba_22,1523,59,579,2,18,
catawba_29,1254,53,380,5,19,
catawba_8,1269,47,459,3,12,
catawba_5,1539,47,565,3,9,
catawba_2,1202,29,284,2,9,
catawba_21,947,17,229,2,9,
catawba_37,881,64,613,8,23,
clay_WARN,375,14,113,1,8,
clay_SWEE,372,11,105,0,2,
clay_HAYC,220,11,61,0,2,
clay_HAY2,685,32,264,0,4,
clay_TUSQ,360,7,110,0,4,
clay_BRAS,439,16,150,5,6,
clay_SHCR,678,16,135,0,8,
clay_HAY1,608,16,205,1,12,
dare_ABSENTEE,547,35,450,0,13,
dare_FRCO,337,11,161,0,5,
dare_MH,262,12,87,0,3,
dare_WAN,546,17,155,0,2,
dare_STPT,94,2,12,0,0,
dare_AVON,273,19,158,0,2,
dare_CHCA,183,32,164,2,8,
dare_EL,43,0,8,0,1,
dare_KDH,1875,130,1258,18,28,
dare_KTHK,1147,71,656,2,25,
dare_HAT,228,14,99,1,3,
dare_DUCK,161,6,163,1,2,
dare_BUX,471,21,196,5,5,
dare_COL,1287,69,776,2,28,
dare_MATO,1754,105,1240,10,36,
dare_NGHD,885,62,692,3,17,
dare_SOSH,1281,60,909,8,21,
dare_CURBSIDE,0,0,0,0,0,
catawba_CURBSIDE,297,9,250,1,7,
catawba_39,1164,49,454,4,26,
catawba_38,1336,72,665,3,30,
catawba_36,914,53,580,3,30,
catawba_25,714,34,472,4,4,
catawba_4,258,17,197,1,1,
catawba_1,1904,36,334,0,12,
catawba_20,1566,51,494,4,15,
catawba_19,466,15,240,6,4,
catawba_14,558,34,457,1,23,
catawba_16,828,64,640,4,27,
catawba_41,1764,55,448,3,14,
catawba_27,1945,58,484,5,15,
catawba_28,1356,49,601,5,19,
