prec_id,Barry Gurney (Write-In),David Waddell (Write-In),John Rhodes (Write-In),Kay Hagan,Sean Haugh,Thom Tillis,Write-In (Miscellaneous),BARRY GURNEY (Write-In),DAVID WADDELL (Write-In),JOHN RHODES (Write-In)
cherokee_BRAS,,,,133,5,279,0,,,
cherokee_MURN,,,,334,43,567,0,,,
cherokee_HOTH,,,,139,16,403,0,,,
cherokee_GCRK,,,,34,11,177,0,,,
cherokee_PCHT,,,,315,40,641,0,,,
cherokee_HANG,,,,69,15,300,0,,,
cherokee_RGER,,,,194,30,461,0,,,
cherokee_HIWA,,,,213,21,582,0,,,
cherokee_CSON,,,,96,13,271,0,,,
chowan_6,0,0,0,161,7,261,0,,,
chowan_2,0,0,0,289,19,311,1,,,
chowan_ONESTOP,0,0,0,1138,47,1300,1,,,
chowan_3,0,0,0,91,27,397,1,,,
chowan_1,0,0,0,283,14,120,0,,,
chowan_4,0,0,0,139,7,152,0,,,
chowan_5,0,0,0,88,4,204,0,,,
clay_HAY2,0,0,0,242,24,447,1,,,
clay_HAYC,0,0,0,68,14,141,0,,,
clay_BRAS,0,0,0,144,13,289,0,,,
clay_HAY1,0,0,0,207,27,405,0,,,
clay_HIAW,0,0,0,187,21,506,1,,,
clay_SHCR,0,0,0,153,36,497,0,,,
clay_SWEE,0,0,0,95,17,237,0,,,
clay_WARN,0,0,0,105,8,235,0,,,
clay_TUSQ,0,0,0,119,8,254,0,,,
cleveland_WACO,0,0,0,509,48,793,1,,,
cleveland_S 4A,0,0,0,1179,103,846,4,,,
cleveland_S C,0,0,1,1600,120,1326,7,,,
cleveland_S 5,0,0,0,641,42,582,6,,,
cleveland_OAKGRV,0,0,0,331,70,925,3,,,
cleveland_LATT,0,0,0,284,65,842,2,,,
cleveland_LAWNDL,0,0,0,472,45,334,0,,,
cleveland_MULLS,0,0,0,182,76,559,3,,,
cleveland_SHANGI,0,1,0,413,64,733,3,,,
cleveland_KINGST,0,0,0,341,10,134,3,,,
cleveland_S S,0,1,0,1243,96,1135,4,,,
cleveland_POLKVL,0,0,0,260,68,645,3,,,
cleveland_BR,0,0,0,621,110,1254,1,,,
cleveland_CASAR,0,0,0,86,52,468,7,,,
cleveland_MRB-YO,0,0,0,155,41,409,1,,,
cleveland_RIPPY,0,0,0,516,52,862,2,,,
cleveland_BETHWR,0,0,0,196,25,511,0,,,
cleveland_KM N,0,0,0,786,59,995,1,,,
cleveland_KM S,0,0,0,655,80,907,4,,,
cleveland_FALSTN,0,0,0,139,50,530,5,,,
cleveland_GROVER,0,0,0,368,43,744,3,,,
columbus_P13,0,0,,61,14,145,0,,,0
columbus_P12,0,0,,26,8,61,1,,,0
columbus_ONESTOP,0,0,,2868,212,1947,5,,,0
columbus_P02B,0,0,,211,21,64,1,,,0
columbus_P04,0,0,,43,7,71,0,,,0
columbus_P16B,0,0,,196,56,308,1,,,0
columbus_P21,0,0,,107,22,181,0,,,0
